"","District","Region","Subzone","Property Type","address","Ascendas_Building","lease","sqft","sqm","psf","lon","lat"
"13863","D07","CENTRAL REGION","CRAWFORD","Office","883 north bridge road , singapore","Non-Ascendas Building","99-year Leasehold",1593,148,4.39,103.8642819,1.3063526
"13864","D12","CENTRAL REGION","BALESTIER","Light Industrial","53 kim keat road , singapore","Non-Ascendas Building","Unknown Tenure",1000,93,3,103.8541013,1.3260759
"13865","D07","CENTRAL REGION","BUGIS","Office","8 liang seah street , singapore","Non-Ascendas Building","999-year Leasehold",600,56,4.83,103.8566978,1.2979249
"13866","D12","CENTRAL REGION","BALESTIER","Light Industrial","53 kim keat road , singapore","Non-Ascendas Building","Unknown Tenure",250,23,4,103.8541013,1.3260759
"13867","D27","NORTH REGION","SEMBAWANG CENTRAL","Light Industrial","50 gambas crescent , singapore","Non-Ascendas Building","30-year Leasehold",400,37,0.5,103.8184676,1.442306
"13868","D22","WEST REGION","TOH TUCK","Factory / Workshop","71 toh guan road east , singapore","Non-Ascendas Building","Unknown Tenure",95,9,5.26,103.7581076,1.3354943
"13869","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","33 ubi avenue 3 , singapore","Non-Ascendas Building","60-year Leasehold",360,33,4.17,103.8942808,1.333427
"13870","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","140 paya lebar road , singapore","Non-Ascendas Building","Freehold",1195,111,2.51,103.8906648,1.3272866
"13871","D19","NORTH-EAST REGION","LORONG AH SOO","Office","1 charlton lane , singapore","Non-Ascendas Building",NA,2099,195,6.19,103.8815498,1.3555722
"13872","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","33 ubi avenue 3 , singapore","Non-Ascendas Building","60-year Leasehold",1582,147,2.34,103.8942808,1.333427
"13873","D22","WEST REGION","KIAN TECK","Factory / Workshop","3 soon lee street , singapore","Non-Ascendas Building","30-year Leasehold",75,7,6.67,103.6972428,1.3339678
"13874","D14","CENTRAL REGION","KAMPONG UBI","Light Industrial","33 ubi avenue 3 , singapore","Non-Ascendas Building","60-year Leasehold",1434,133,2.44,103.8942808,1.333427
"13875","D05","WEST REGION","PANDAN","Factory / Workshop","237 pandan loop , singapore","Non-Ascendas Building","999-year Leasehold",1044,97,2.68,103.7514544,1.3132336
"13876","D01","CENTRAL REGION","CLARKE QUAY","Office","20 havelock road , singapore","Non-Ascendas Building",NA,208,19,12.5,103.8432735,1.2882882
"13877","D01","CENTRAL REGION","CLARKE QUAY","Office","20 havelock road , singapore","Non-Ascendas Building",NA,301,28,15.45,103.8432735,1.2882882
