District,Region,Subzone,Property Type,address,Ascendas_Building,lease,sqft,sqm,psf
D02,CENTRAL REGION,ANSON,Office,19 keppel road,Non-Ascendas Building,,3660,340,5.5
D02,CENTRAL REGION,ANSON,Office,19 keppel road,Non-Ascendas Building,,650,60,5.5
D01,CENTRAL REGION,MARINA CENTRE,Office,3 temasek avenue,Non-Ascendas Building,,6000,557,12.8
D01,CENTRAL REGION,RAFFLES PLACE,Office,1 raffles place,Non-Ascendas Building,,4876,453,11.48
D01,CENTRAL REGION,MARINA CENTRE,Office,1 temasek avenue,Non-Ascendas Building,,4359,405,13.8
D01,CENTRAL REGION,RAFFLES PLACE,Office,50 raffles place,Non-Ascendas Building,,1288,120,10.5
D01,CENTRAL REGION,CHINA SQUARE,Office,18 cross street,Non-Ascendas Building,,5393,501,8
D01,CENTRAL REGION,RAFFLES PLACE,Office,battery road,Non-Ascendas Building,999-year Leasehold ,2900,269,10
D08,CENTRAL REGION,SUNGEI ROAD,Office,10 jalan besar,Non-Ascendas Building,Freehold ,347,32,3.5
D08,CENTRAL REGION,SUNGEI ROAD,Office,10 jalan besar,Non-Ascendas Building,Freehold ,1100,102,4.36
D07,CENTRAL REGION,CRAWFORD,Office,7500 beach road,Non-Ascendas Building,99-year Leasehold ,830,77,4.82
D01,CENTRAL REGION,PEARL'S HILL,Office,101 upper cross street,Non-Ascendas Building,99-year Leasehold ,500,46,4
D07,CENTRAL REGION,BUGIS,Office,middle road,Non-Ascendas Building,,1375,128,4.51
D07,CENTRAL REGION,BUGIS,Office,middle road,Non-Ascendas Building,,3692,343,4
D07,CENTRAL REGION,BUGIS,Office,middle road,Non-Ascendas Building,,2658,247,4
D07,CENTRAL REGION,BUGIS,Office,middle road,Non-Ascendas Building,,1972,183,4
D14,CENTRAL REGION,BOON KENG,Office,sim ave,Non-Ascendas Building,,1100,102,2.55
D07,CENTRAL REGION,BUGIS,Office,middle road,Non-Ascendas Building,,8321,773,4
D07,CENTRAL REGION,BENCOOLEN,Office,bencoolen street,Non-Ascendas Building,,600,56,4
D07,CENTRAL REGION,BUGIS,Office,purvis street,Non-Ascendas Building,,948,88,4.01
D20,CENTRAL REGION,UPPER THOMSON,Light Industrial,18 sin ming lane,Non-Ascendas Building,60-year Leasehold ,1292,120,1.93
D20,NORTH-EAST REGION,SERANGOON NORTH,Light Industrial,7030 ang mo kio avenue 5,Non-Ascendas Building,60-year Leasehold ,635,59,2.68
D20,CENTRAL REGION,UPPER THOMSON,Light Industrial,18 sin ming lane,Non-Ascendas Building,60-year Leasehold ,1292,120,2.01
D20,CENTRAL REGION,MARYMOUNT,Light Industrial,3 pemimpin drive,Non-Ascendas Building,,200,19,4.85
D20,CENTRAL REGION,UPPER THOMSON,Light Industrial,22 sin ming lane,Non-Ascendas Building,60-year Leasehold ,1400,130,2.14
D09,CENTRAL REGION,BOULEVARD,Office,302 orchard road,Non-Ascendas Building,Freehold ,3000,279,9
D09,CENTRAL REGION,BOULEVARD,Office,302 orchard road,Non-Ascendas Building,Freehold ,1500,139,9
D14,EAST REGION,KAKI BUKIT,Factory / Workshop,1 kaki bukit road 1,Non-Ascendas Building,Unknown Tenure ,2142,199,2.1
D10,CENTRAL REGION,TANGLIN,Office,1 tanglin road,Non-Ascendas Building,30-year Leasehold ,2692,250,7
D10,CENTRAL REGION,TANGLIN,Office,1 tanglin road,Non-Ascendas Building,30-year Leasehold ,431,40,7.2
D01,CENTRAL REGION,CLARKE QUAY,Office,20 havelock road,Non-Ascendas Building,,97,9,6.7
D01,CENTRAL REGION,CHINATOWN,Office,20 maxwell road,Non-Ascendas Building,99-year Leasehold ,270,25,7.04
D14,EAST REGION,KAKI BUKIT,Office,60 kaki bukit place,Non-Ascendas Building,Unknown Tenure ,710,66,2.75
D20,CENTRAL REGION,MARYMOUNT,Office,35 jalan pemimpin,Non-Ascendas Building,Unknown Tenure ,440,41,3.18
D22,WEST REGION,TOH TUCK,Factory / Workshop,21 toh guan road east,Non-Ascendas Building,Unknown Tenure ,85,8,9.41
D22,WEST REGION,TOH TUCK,Office,21 toh guan road east,Non-Ascendas Building,Unknown Tenure ,150,14,4.67
D27,NORTH REGION,YISHUN EAST,Office,yishun,Non-Ascendas Building,,72,7,7.64
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,29 media circle,Ascendas Building,Unknown Tenure ,15000,1394,5
D27,NORTH REGION,SEMBAWANG NORTH,Light Industrial,8 admiralty street,Non-Ascendas Building,,4000,372,2
D05,CENTRAL REGION,ONE NORTH,Business / Science Park,29 media circle,Ascendas Building,Unknown Tenure ,1000,93,2.7
D27,NORTH REGION,SEMBAWANG NORTH,Light Industrial,8 admiralty street,Non-Ascendas Building,,30000,2787,2
D27,NORTH REGION,SEMBAWANG NORTH,Light Industrial,8 admiralty street,Non-Ascendas Building,,18000,1672,2
D27,NORTH REGION,SEMBAWANG NORTH,Light Industrial,8 admiralty street,Non-Ascendas Building,,8000,743,2
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,10 jalan kilang,Non-Ascendas Building,Unknown Tenure ,3390,315,3.8
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,315 alexandra road,Non-Ascendas Building,Unknown Tenure ,3949,367,3.8
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,315 alexandra road,Non-Ascendas Building,Unknown Tenure ,7524,699,3.8
D03,CENTRAL REGION,ALEXANDRA HILL,Light Industrial,10 jalan kilang,Non-Ascendas Building,Unknown Tenure ,1044,97,3.8
D05,CENTRAL REGION,ONE NORTH,Office,9 north buona vista drive,Non-Ascendas Building,Unknown Tenure ,27739,2577,1.35
